乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
2月28日，以色列本土确诊第一例新冠肺炎病例，以迅速采取了关闭所有出入境口岸，暂停非必要行业，学校改为网上授课，限制公共交通和非必要社交活动，封锁疫情严重城市，军警联合维护防控举措等。	On February 28, the first case was confirmed in Israel and prompt measures were taken to close all entry and exit points, suspend non-essential industries, and urge all schools to take classes online; moreover, they restricted public transportation and non-essential social activities, sealed off cities with severe outbreaks, and combined military and police efforts to maintain effective control and prevention measures.	On 28 February, the first case of coronary pneumonia was confirmed in mainland Israel, resulting in the rapid closure of all entry and exit points, suspension of non-essential trades, conversion of schools to online instruction, restrictions on public transport and non-essential social activities, blockades of heavily affected cities, and joint	On February 28, the first case of coronavirus was confirmed in Israel, which quickly adopted measures such as closing all entry and exit ports, suspending non-essential industries, changing schools to online classes, restricting public transportation and non-essential social activities, blocking cities with severe epidemics, and jointly maintaining prevention and control measures.
这一系列措施很快取得了积极成效，至5月中旬，以色列单日新增新冠肺炎确诊病例一度回落至个位数。	This series of measures quickly yielded positive results, and by mid-May, the daily number of confirmed cases in Israel dropped to the single digits.	This series of measures quickly yielded positive results, and by mid-May, the number of new coronary pneumonia diagnoses in Israel had dropped to single digits in a single day.	These measures quickly yielded positive results, and by mid-May, the number of new confirmed cases of COVID-19 in Israel fell to single digits in a single day.
随着疫情得到控制，以色列各项防控措施全面解封，自6月以来，新冠肺炎新增确诊人数逐渐反弹。	As the outbreak was brought under control, the blockade was completely lifted and the number of new confirmed cases has gradually seen a recurrence since June.	As the epidemic was brought under control, Israeli control measures were fully implemented, and since June, the number of new confirmations of coronary pneumonia has gradually rebounded.	Since June, the number of new confirmed cases of COVID-19 has gradually rebounded as the outbreak has been brought under control and Israeli prevention and control measures have been fully closed.
特别是进入7月后，疫情扩散蔓延速度不断加快。	In particular, in July, the spread of the epidemic has accelerated since the beginning of the month.	The spread of the epidemic has been accelerating, especially since July.	Especially since entering July, the spread of the epidemic has accelerated.
近日来，以色列每日新增病例有8天在1500人以上，截至7月25日发稿时，以当日新增病例达916人。	Recently, the number of new confirmed cases in Israel has been above 1,500 per day for eight days, and by the time of this report on July 25, the number of new confirmed cases reached 916.	In recent days, there have been more than 1,500 new cases in Israel in eight days, and 916 new cases were reported as of July 25.	In recent days, there have been more than 1,500 new cases per day in Israel for eight days, with 916 new cases as of July 25.
截至7月25日，以色列已有确诊病例59745人，死亡人数448人。	As of July 25, there were 59,745 confirmed cases and 448 death cases in Israel.	As of July 25, there were 59,745 confirmed cases and 448 deaths in Israel.	As of 25 July, Israel had 59,745 confirmed cases and 448 deaths.
面对疫情的迅猛反弹，以色列政府多次采取紧急措施加强对疫情的防控。	In the face of this rapid recurrence, the Israeli government has taken several emergency measures to strengthen epidemic prevention and control.	In response to the rapid response to the epidemic, the Israeli Government has taken several urgent steps to strengthen the control of the epidemic	Faced with the rapid backlash against the outbreak, the Israeli government has repeatedly taken urgent measures to strengthen its prevention and control.
7月6日，在确诊病例数突破3万后，以色列政府关闭了健身房、游泳池、酒吧、夜总会等公共娱乐场所，同时出台了限制公共交通政策，规定每辆公交车的乘客最多不能超过20人。	On July 6, after the number of confirmed cases exceeded 30,000, the Israeli government closed gyms, swimming pools, bars, nightclubs and other public entertainment venues, and introduced a policy of limiting public transport to a maximum of 20 passengers per bus.	On 6 July, after the number of confirmed cases exceeded 30,000, the Israeli government closed down public entertainment venues such as gyms, swimming pools, bars, and nightclubs, and introduced a public transport policy that limited the number of passengers per bus to a maximum of 20.	On 6 July, after the number of confirmed cases exceeded 30,000, the Israeli government closed public entertainment venues such as gyms, swimming pools, bars, and nightclubs, and introduced a policy of restricting public transportation to a maximum of 20 passengers per bus.
17日，以政府宣布了包括周末实施“封城”等在内的一系列新的限制措施，规定在每周五17时至每周日5时期间实施“封城”。	On July 17, the government announced a series of new restrictions, including a "city lockdown" on weekends, from 17:00 every Friday to 5:00 every Sunday.	On 17 May, the government announced a series of new restrictions, including the imposition of "city closures" over the weekend, which would be implemented from 17: 00 on Fridays to 17: 00 on Sundays.	On May 17, the Israeli government announced a series of new restrictions, including the imposition of "closures" on weekends, between 17: 00 on Fridays and 5: 00 on Sundays.
在此期间，民众可以外出，但商店、购物中心、理发店、美容院、图书馆、动物园、博物馆、展览馆、游泳池和旅游景点等场所将关闭，而超市、药店等基本服务场所将保持开放。	During this period, people will be allowed to go out but the shops, shopping centers, barber shops, beauty salons, libraries, zoos, museums, exhibition halls, swimming pools and tourist attractions will be closed; however, places providing basic services such as supermarkets and pharmacies will remain open.	During this period, people will be able to go out, but shops, shopping centres, barbershops, beauty salons, libraries, zoos, museums, exhibition halls, swimming pools and tourist attractions will be closed, while essential services such as supermarkets and	During this period, people will be able to go outside, but places such as shops, shopping centres, barbershops, beauty salons, libraries, zoos, museums, exhibition halls, swimming pools and tourist attractions will be closed, while places of basic services
同时，在所有日期和时段内，禁止10人以上的集会，健身房、工作室等场所将关闭，餐馆和咖啡厅禁止堂食，仅允许提供外卖服务。	In the meantime, gatherings of more than 10 people will be banned around the clock every day, gyms, studios, and other places will be closed, and restaurants and cafes will be closed for dine-in food, with only takeaway services allowed.	Meanwhile, gatherings of more than 10 people will be banned on all dates and hours, gyms, studios and other venues will be closed, restaurants and cafes will be banned from eating out and takeaways will only be	Meanwhile, gatherings of more than 10 people will be banned on all dates and times, venues such as gyms and studios will be closed, restaurants and cafes will be banned from eating and only takeaways will be allowed.
