Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
The Congress is planning a countrywide protest on Monday over the situation in Rajasthan, where the Ashok Gehlot government is struggling to survive.	国民大会党计划于周一在全国范围内就拉贾斯坦邦的局势进行抗议，Ashok Gehlot 政府在该地区摇摇欲坠。	国会计划在星期一就拉贾斯坦邦的局势举行全国性的抗议活动。	国会正计划在星期一就拉贾斯坦邦的局势举行一次全国性的抗议活动，在那里， Ashok Gehot 政府正在为生存而挣扎。
While the party said a protest will be held outside the Rashtrapati Bhavan, the official residence of President Ram Nath Kovind.	国民大会党称，他们将在总统府，也就是总统 Ram Nath Kovind 的官邸外举行一场抗议活动。	该党说，抗议活动将在 Ram Nath Kovind 总统官的 Rashrapati Bhavan 外举行。	该党表示，抗议活动将在 Ram Nath Kovind 总统官的 Rashtrapati Bhavan 以外举行。
In the video, the Congress has accused the BJP of "Ripping up the constitution and demolishing democracy" while the whole country is fighting the coronavirus.	在视频里，国民大会党指责人民党在举国上下对抗疫情之际“撕毁宪法、践踏民主”。	在视频中，国会指责印度人民党 “撕毁宪法和摧毁民主”，而整个国家都在与冠状病毒作斗争。	在视频中，国会指责印度人民党 “撕毁宪法，摧毁民主”，而整个国家都在对抗冠状病毒。
It has done the same in Madhya Pradesh, the Congress said.	国民大会党称，他们在中央邦也做出了同样的事情。	国会说，它在中央邦也做了同样的事情。	国会说，它在中央邦也做了同样的事情。
"We demand to immediately convene an assembly session which is within our constitutional rights," the party said in the video.	国民大会党在视频里说：“我们要求立即召开议会会议，这是宪法赋予我们的权利。”	“我们要求立即召开一次在我们的宪法权利范围内的集会，” 该党在视频中说。	“我们要求立即召开一次大会，这是我们宪法权利的一部分，” 该党在视频中说。
Rajasthan Governor Kalraj Mishra has turned down one proposal to start an assembly session.	拉贾斯坦邦州长 Kalraj Mishra 驳回了一个提议召开议会会议的提案。	拉贾斯坦邦州长 Kalraj Mishra 拒绝了一项关于开始举行集会的提议。	拉贾斯坦邦州长 Kalraj Mishra 拒绝了一项启动大会会议的提案。
A second one was submitted today which he said he is examining.	第二个提案于今天提交，Kalraj Mishra 表示还在进行审核。	第二个是今天提交的，他说他正在审查。	第二件是今天提交的，他说他正在审查。
Mr Gehlot's government has been in deep crisis after his deputy Sachin Pilot turned rebel with a chunk of MLAs supporting him.	自从 Gehlot 的副手 Sachin Pilot 带着支持他的一众立法议会会员叛变后，Gehlot 的政府便陷入巨大的危机中。	在他的副手 Sachin 飞行员与支持他的大量 MLAS 人反叛后， Gehot 先生的政府陷入了深刻的危机。	在他的副手 Sachin 飞行员与支持他的大量 MLAs 的叛乱后， Gehot 先生的政府陷入了严重的危机。
The party has been unable to disqualify the rebels to bring down the majority mark in the assembly.	国民大会党一直无法取消叛变者在议会的资格，因此无法将其人数减少到议会的多数票以下。	该党一直无法取消反叛分子的资格，以降低集会中的多数席位。	该党未能取消反叛分子的资格，以降低集会中的多数席位。
Mr Pilot -- who was stripped of his posts in the party and the government -- has been given temporary relief from disqualification by the Rajasthan High Court, which held that the Speaker cannot take any action until the larger constitutional question about his powers is decided.	Pilot 在党内和政府中的职位已经被剥夺，拉贾斯坦邦高等法院暂时没有取消他的资格，认为在他的权力范围上存在更大的合宪性争议，在得出结论前议长也不能采取任何行动。	被剥夺了他在政党和政府中的职位的飞行员被拉贾斯坦邦高等法院暂时解除了资格，该法院认为，在关于他的权力的更大的宪法问题决定之前，议长不能采取任何行动。	飞行员先生被剥夺了他在政党和政府中的职位，他被拉贾斯坦邦高等法院暂时解除了资格，该法院认为，在关于他的权力的更大的宪法问题决定之前，议长不能采取任何行动。
That question will be taken up tomorrow by the Supreme Court, which will also decide whether a court can interfere with the Speaker's decisions.	明天，高等法院将审理该争议问题，还将就法院能否干涉议长决定的问题作出裁决。	最高法院明天将审议这一问题，最高法院还将决定法院是否可以干预议长的裁决。	这个问题明天将由最高法院审理，最高法院也将决定法院是否可以干预议长的裁决。
The Congress stands only one past the majority mark in the 200-member assembly.	在 200 名成员的议会中，国民大会党的得票只比多数票多出一票。	国会在 200 名议员中只占大多数。	国会在 200 个成员的议会中只有一个席位。
Team Pilot claims the support of 30 MLAs, but so far, the evidence points to only 19.	Pilot 的团队声称获得了 30 名立法议会成员的支持，但截至目前，有确凿证据的只有 19 票。	团队试点要求 30 个 MLAS 的支持，但到目前为止，证据只指向 19 个。	小组试点声称支持 30 个 MLAS ，但到目前为止，证据只指向 19 个。
The BJP has 72 and including allies and Independents, it stands at 97.	人民党获得 72 人支持，加上盟友和独立议员，共有 97 票。	印度人民党有 72 人，包括盟友和家属，目前有 97 人。	印度人民党有 72 人，包括盟友和家属，目前为 97 人。
If the court decides in favour of Mr Pilot, the Congress can lose the second of the three governments it formed in the heartland states following the 2018 assembly elections.	如果法院裁决有利于 Pilot，国民大会党将失去其组建的第二个政府，2018 年议会选举后，国民大会党在中部各州共组建了三个政府。	如果法院决定支持飞行员，国会可以在 2018 年议会选举后在中心地带成立的三个政府中失去第二政府。	如果法院决定支持试点，国会可能会失去它在 2018 年大会选举后在中心地带成立的三个政府中的第二。
In March, it lost the Kamal Nath-led government in Madhya Pradesh after Jyotiraditya Scindia joined the BJP with 22 of his MLAs.	3 月，Jyotiraditya Scindia 带着支持他的 22 名议会成员加入人民党，导致国民大会党以 Kamal Nath 为首的中央邦政府倒台。	3 月，在 Jyotiraditya Scindia 加入印度人民党后，在中央邦失去了 Kamal Nath 领导的政府。	3 月，在 Jyotiraditya Scindia 加入印度人民党后，它在中央邦失去了 Kamal Nath 领导的政府。
Seattle Protests: Fires and Pepper Spray as Thousands March Through City	西雅图示威频发：成千上万抗议者走上街头，城市火光四起	西雅图的抗议：火灾和胡椒喷雾，成千上万的城市	西雅图的抗议：火灾和佩珀喷雾，成千上万的 3 月通过城市
SEATTLE - After weeks of escalating confrontations between protesters and federal authorities in Portland, Ore., a crowd of about 2,000 people mobilized in Seattle on Saturday, marching through the streets and clashing with the police.	西雅图——俄勒冈州波特兰的抗议者与联邦当局之间的冲突升级，几周之后，西雅图约 2,000 人上街游行，与警方发生冲突。	西雅图 — — 在俄勒冈州波特兰市的抗议者和联邦当局之间数周的不断升级的冲突之后，周六在西雅图动员了约 2 ， 000 人，他们在街上游行，与警察发生冲突。	西雅图 — 在俄勒冈州波特兰市，抗议者和联邦当局之间的冲突不断升级数周后，周六西雅图动员了约 2000 人，游行穿过街道，与警方发生冲突。
Three police officers were injured, including one who was hospitalized with a leg injury caused by an explosive, and 16 protesters were arrested as of early evening, the police said.	警方表示有三名警员受伤，其中一名因爆炸物造成腿伤入院，截至傍晚，有 16 名抗议者被捕。	警方说，有 3 名警察受伤，其中一名因腿部受伤而住院治疗， 16 名抗议者在傍晚时被逮捕。	警方说，有 3 名警察受伤，其中一名因腿部受伤而住院治疗， 16 名抗议者于傍晚时被捕。
